"시점","국가별",산림면적 (1000km²),멸종위기종(포유동물) (종),멸종위기종(조류) (종),멸종위기종(어류) (종),멸종위기종(고등식물) (종),육상보호구역 (%),해양보호구역 (%)
"1990","아시아",,,,,,,
"1990","대한민국",66,-,-,-,-,5.1,3.3
"1990","아프가니스탄",12,-,-,-,-,0.4,0.0
"1990","아르메니아",3,-,-,-,-,7.9,0.0
"1990","아제르바이잔",9,-,-,-,-,5.2,0.0
"1990","바레인",0,-,-,-,-,1.4,0.0
"1990","방글라데시",19,-,-,-,-,0.8,0.1
"1990","부탄",25,-,-,-,-,14.2,0.0
"1990","브루나이",4,-,-,-,-,36.9,1.5
"1990","캄보디아",110,-,-,-,-,0.0,0.0
"1990","중국",1571,-,-,-,-,13.6,0.4
"1990","키프로스",2,-,-,-,-,0.5,0.0
"1990","동티모르",10,-,-,-,-,0.0,0.0
"1990","조지아",28,-,-,-,-,1.9,0.0
"1990","홍콩",-,-,-,-,-,41.1,0.0
"1990","인도",639,-,-,-,-,4.7,1.5
"1990","인도네시아",1185,-,-,-,-,10.1,0.4
"1990","이란",91,-,-,-,-,5.6,1.5
"1990","이라크",8,-,-,-,-,0.1,0.0
"1990","이스라엘",1,-,-,-,-,12.0,0.1
"1990","일본",250,-,-,-,-,18.1,5.0
"1990","요르단",1,-,-,-,-,1.1,0.0
"1990","카자흐스탄",34,-,-,-,-,2.4,0.0
"1990","북한",69,-,-,-,-,2.3,0.1
"1990","쿠웨이트",0,-,-,-,-,2.0,0.0
"1990","키르기스스탄",8,-,-,-,-,6.3,0.0
"1990","라오스",178,-,-,-,-,1.5,0.0
"1990","레바논",1,-,-,-,-,0.5,0.0
"1990","마카오",-,-,-,-,-,0.0,0.0
"1990","말레이시아",206,-,-,-,-,17.2,1.5
"1990","몰디브",0,-,-,-,-,0.1,0.0
"1990","몽골",144,-,-,-,-,4.1,0.0
"1990","미얀마",392,-,-,-,-,3.0,0.2
"1990","네팔",57,-,-,-,-,7.7,0.0
"1990","오만",0,-,-,-,-,0.0,0.0
"1990","파키스탄",1,-,-,-,-,10.1,1.8
"1990","필리핀",78,-,-,-,-,8.7,0.3
"1990","카타르",0,-,-,-,-,1.8,0.0
"1990","사우디아라비아",10,-,-,-,-,7.6,0.6
"1990","싱가포르",0,-,-,-,-,5.4,0.0
"1990","스리랑카",24,-,-,-,-,20.3,0.1
"1990","시리아",4,-,-,-,-,0.3,0.0
"1990","타지키스탄",4,-,-,-,-,2.6,0.0
"1990","태국",194,-,-,-,-,11.9,3.9
"1990","튀르키예",198,-,-,-,-,0.0,0.0
"1990","투르크메니스탄",41,-,-,-,-,3.0,0.0
"1990","아랍에미리트",2,-,-,-,-,12.6,0.3
"1990","우즈베키스탄",30,-,-,-,-,2.1,0.0
"1990","베트남",94,-,-,-,-,4.6,0.3
"1990","예멘",5,-,-,-,-,0.0,0.0
"1990","북아메리카",,,,,,,
"1990","버뮤다",0,-,-,-,-,5.4,4.8
"1990","캐나다",3483,-,-,-,-,5.8,0.7
"1990","그린란드",0,-,-,-,-,40.8,36.5
