"시점","국가별",산림면적 (1000km²),멸종위기종(포유동물) (종),멸종위기종(조류) (종),멸종위기종(어류) (종),멸종위기종(고등식물) (종),육상보호구역 (%),해양보호구역 (%)
"2009","아시아",,,,,,,
"2009","대한민국",64,-,-,-,-,2.4,3.9
"2009","아프가니스탄",12,-,-,-,-,0.4,-
"2009","아르메니아",3,-,-,-,-,8.0,-
"2009","아제르바이잔",10,-,-,-,-,7.2,-
"2009","바레인",0,-,-,-,-,1.4,0.7
"2009","방글라데시",19,-,-,-,-,1.8,0.8
"2009","부탄",27,-,-,-,-,28.4,-
"2009","브루나이",4,-,-,-,-,44.0,1.4
"2009","캄보디아",106,-,-,-,-,25.8,0.4
"2009","중국",1982,-,-,-,-,16.6,1.3
"2009","키프로스",2,-,-,-,-,10.5,0.6
"2009","동티모르",9,-,-,-,-,6.1,6.7
"2009","조지아",28,-,-,-,-,3.7,0.5
"2009","홍콩",-,-,-,-,-,41.8,-
"2009","인도",693,-,-,-,-,5.0,1.7
"2009","인도네시아",998,-,-,-,-,14.2,2.0
"2009","이란",106,-,-,-,-,7.1,1.7
"2009","이라크",8,-,-,-,-,0.1,-
"2009","이스라엘",2,-,-,-,-,17.8,0.5
"2009","일본",250,-,-,-,-,16.5,5.6
"2009","요르단",1,-,-,-,-,1.9,30.0
"2009","카자흐스탄",31,-,-,-,-,2.5,-
"2009","북한",63,-,-,-,-,5.9,0.1
"2009","쿠웨이트",0,-,-,-,-,1.6,0.0
"2009","키르기스스탄",12,-,-,-,-,6.9,-
"2009","라오스",170,-,-,-,-,16.6,-
"2009","레바논",1,-,-,-,-,0.5,0.1
"2009","말레이시아",190,-,-,-,-,18.1,2.0
"2009","몰디브",0,-,-,-,-,-,-
"2009","몽골",142,-,-,-,-,13.4,-
"2009","미얀마",318,-,-,-,-,6.3,0.3
"2009","네팔",59,-,-,-,-,17.0,-
"2009","오만",0,-,-,-,-,10.7,1.3
"2009","파키스탄",41,-,-,-,-,10.1,1.8
"2009","필리핀",69,-,-,-,-,10.9,2.5
"2009","카타르",0,-,-,-,-,2.5,0.3
"2009","사우디아라비아",10,-,-,-,-,31.3,3.4
"2009","싱가포르",0,-,-,-,-,5.4,1.4
"2009","스리랑카",21,-,-,-,-,21.5,1.1
"2009","시리아",5,-,-,-,-,0.6,0.6
"2009","타지키스탄",4,-,-,-,-,4.1,-
"2009","태국",200,-,-,-,-,20.1,4.4
"2009","튀르키예",210,-,-,-,-,1.9,2.4
"2009","투르크메니스탄",41,-,-,-,-,3.0,-
"2009","아랍에미리트",3,-,-,-,-,5.6,2.6
"2009","우즈베키스탄",33,-,-,-,-,2.3,-
"2009","베트남",132,-,-,-,-,6.2,1.7
"2009","예멘",5,-,-,-,-,0.5,1.8
"2009","북아메리카",,,,,,,
"2009","버뮤다",0,-,-,-,-,5.6,5.0
"2009","캐나다",3474,-,-,-,-,7.5,1.0
"2009","그린란드",0,-,-,-,-,40.6,36.3
"2009","멕시코",671,-,-,-,-,11.1,16.7
"2009","미국",3082,-,-,-,-,12.4,28.6
"2009","남아메리카",,,,,,,
"2009","앤티가바부다",0,-,-,-,-,7.0,0.7
"2009","아르헨티나",305,-,-,-,-,5.5,1.1
"2009","아루바",0,-,-,-,-,0.1,-
"2009","바하마",5,-,-,-,-,13.7,0.4
"2009","바베이도스",0,-,-,-,-,0.1,0.1
"2009","벨리즈",14,-,-,-,-,28.0,11.9
"2009","볼리비아",533,-,-,-,-,18.5,-
"2009","브라질",5155,-,-,-,-,26.3,16.5
"2009","영국령버진아일랜드",0,-,-,-,-,-,-
"2009","케이맨제도",0,-,-,-,-,8.7,1.2
"2009","칠레",166,-,-,-,-,16.6,3.7
"2009","콜롬비아",610,-,-,-,-,20.9,15.5
"2009","코스타리카",29,-,-,-,-,20.9,12.2
"2009","쿠바",29,-,-,-,-,6.3,2.8
"2009","도미니카연방",0,-,-,-,-,21.7,0.1
"2009","도미니카공화국",21,-,-,-,-,22.2,30.4
"2009","에콰도르",131,-,-,-,-,25.1,75.4
"2009","엘살바도르",6,-,-,-,-,0.8,3.1
"2009","그레나다",0,-,-,-,-,1.7,0.0
"2009","과테말라",38,-,-,-,-,30.6,12.5
"2009","가이아나",185,-,-,-,-,5.0,-
"2009","아이티",4,-,-,-,-,0.3,-
"2009","온두라스",66,-,-,-,-,18.2,1.9
"2009","자메이카",6,-,-,-,-,18.9,4.2
"2009","니카라과",43,-,-,-,-,36.7,37.2
"2009","파나마",43,-,-,-,-,18.7,4.0
"2009","파라과이",199,-,-,-,-,5.4,-
"2009","페루",742,-,-,-,-,13.6,2.8
"2009","푸에르토리코",5,-,-,-,-,10.1,1.6
"2009","세인트키츠네비스",0,-,-,-,-,3.6,0.5
"2009","세인트루시아",0,-,-,-,-,14.3,0.1
"2009","세인트빈센트그레나딘",0,-,-,-,-,10.9,0.6
"2009","수리남",153,-,-,-,-,11.6,22.9
"2009","트리니다드토바고",2,-,-,-,-,31.2,2.8
"2009","터크스케이커스제도",0,-,-,-,-,42.9,1.0
"2009","미국령버진아일랜드",0,-,-,-,-,15.2,0.6
"2009","우루과이",17,-,-,-,-,0.3,0.3
"2009","베네수엘라",477,-,-,-,-,53.8,15.3
"2009","유럽",,,,,,,
"2009","알바니아",8,-,-,-,-,9.9,1.6
"2009","안도라",0,-,-,-,-,6.1,-
"2009","오스트리아",39,-,-,-,-,22.9,-
"2009","벨라루스",86,-,-,-,-,7.2,-
"2009","벨기에",7,-,-,-,-,13.8,0.0
"2009","보스니아-헤르체고비나",21,-,-,-,-,0.6,0.7
"2009","불가리아",37,-,-,-,-,9.2,3.2
"2009","샤넬군도",0,-,-,-,-,9.3,0.0
"2009","크로아티아",19,-,-,-,-,13.0,3.4
"2009","체코",27,-,-,-,-,15.1,-
"2009","덴마크",6,-,-,-,-,4.9,3.2
"2009","에스토니아",23,-,-,-,-,20.4,26.5
"2009","페로제도",0,-,-,-,-,-,-
"2009","핀란드",223,-,-,-,-,9.0,5.0
"2009","프랑스",163,-,-,-,-,16.5,21.3
"2009","독일",114,-,-,-,-,42.4,40.3
"2009","지브롤터",0,-,-,-,-,-,-
"2009","그리스",39,-,-,-,-,16.2,2.6
"2009","헝가리",20,-,-,-,-,5.1,-
"2009","아이슬란드",0,-,-,-,-,19.7,3.9
"2009","아일랜드",7,-,-,-,-,1.8,0.2
"2009","맨섬",0,-,-,-,-,-,-
"2009","이탈리아",90,-,-,-,-,15.1,17.4
"2009","라트비아",34,-,-,-,-,18.0,6.7
"2009","리히텐슈타인",0,-,-,-,-,42.5,-
"2009","리투아니아",22,-,-,-,-,14.5,10.8
"2009","룩셈부르크",1,-,-,-,-,20.1,-
"2009","북마케도니아",10,-,-,-,-,4.9,-
"2009","몰타",0,-,-,-,-,17.3,0.4
"2009","몰도바",4,-,-,-,-,1.4,-
"2009","모나코",0,-,-,-,-,23.7,100.0
"2009","네덜란드",4,-,-,-,-,12.4,22.1
"2009","노르웨이",121,-,-,-,-,14.6,2.4
"2009","폴란드",93,-,-,-,-,22.4,4.1
"2009","포르투갈",33,-,-,-,-,8.3,3.1
"2009","루마니아",65,-,-,-,-,7.1,33.3
"2009","러시아",8145,-,-,-,-,9.1,10.8
"2009","산마리노",0,-,-,-,-,-,-
