DEU,2000,26.5
DEU,2001,27
DEU,2002,28
DEU,2003,29.1
DEU,2004,30.1
DEU,2005,31.1
DEU,2006,32
DEU,2007,32.7
DEU,2008,33.4
DEU,2009,33.9
DEU,2010,34.4
DEU,2011,34.6
DEU,2012,34.8
DEU,2013,34.9
DEU,2014,35
DEU,2015,34.8
DEU,2017,36.4
DEU,2019,38
DEU,2020,36.5
DEU,2021,39.7
DEU,2022,40.5
DEU,2023,41.4
DEU,2024,42.4
DEU,2025,41.4
DEU,2026,45.1
DEU,2027,46.7
DEU,2050,58.1
DEU,2075,63.1
KOR,2000,11.2
KOR,2001,12
KOR,2002,12.6
KOR,2003,13.2
KOR,2004,13.7
KOR,2005,14.3
KOR,2006,14.8
KOR,2007,15.3
KOR,2008,15.9
KOR,2009,16.4
KOR,2010,16.9
KOR,2011,17.4
KOR,2012,17.9
KOR,2013,18.5
KOR,2014,19
KOR,2015,19.4
KOR,2017,20.9
KOR,2019,22.6
KOR,2020,23.6
KOR,2021,24.8
KOR,2022,26.2
KOR,2023,27.8
KOR,2024,29.4
KOR,2025,31.7
KOR,2026,32.8
KOR,2027,34.6
KOR,2050,78.8
KOR,2075,78.8
SWE,2000,29.5
SWE,2001,29.4
SWE,2002,29.3
SWE,2003,29.2
SWE,2004,29.3
SWE,2005,29.4
SWE,2006,29.6
SWE,2007,29.8
SWE,2008,30.2
SWE,2009,30.6
SWE,2010,31.2
SWE,2011,31.8
SWE,2012,32.5
SWE,2013,33.3
SWE,2014,34.1
SWE,2015,33.8
SWE,2017,35.8
SWE,2019,36.7
SWE,2020,35.9
SWE,2021,37.5
SWE,2022,37.9
SWE,2023,38.2
SWE,2024,38.6
SWE,2025,38.2
SWE,2026,39.3
SWE,2027,39.7
SWE,2050,45.5
SWE,2075,51.6
GBR,2000,27
GBR,2001,26.8
GBR,2002,26.7
GBR,2003,26.7
GBR,2004,26.8
GBR,2005,26.8
GBR,2006,26.9
GBR,2007,27
GBR,2008,27.2
GBR,2009,27.4
GBR,2010,27.8
GBR,2011,28.3
GBR,2012,28.9
GBR,2013,29.6
GBR,2014,30.3
GBR,2015,31
GBR,2017,31.7
GBR,2019,32.3
GBR,2020,32
GBR,2021,33.1
GBR,2022,33.6
GBR,2023,34.2
GBR,2024,34.8
GBR,2025,35.9
GBR,2026,36.2
GBR,2027,36.9
GBR,2050,47.1
GBR,2075,53
USA,2000,20.9
USA,2001,20.8
USA,2002,20.7
USA,2003,20.6
USA,2004,20.6
USA,2005,20.6
USA,2006,20.7
USA,2007,20.9
USA,2008,21.1
USA,2009,21.4
USA,2010,21.8
USA,2011,22.2
USA,2012,22.8
USA,2013,23.4
USA,2014,24
USA,2015,24.6
USA,2017,26.2
USA,2019,27.8
USA,2020,28.4
USA,2021,29.5
USA,2022,30.4
USA,2023,31.3
USA,2024,32.2
USA,2025,32.9
USA,2026,33.9
USA,2027,34.7
USA,2050,40.4
USA,2075,49.3
CHN,2000,11.4
CHN,2001,11.8
CHN,2002,12
CHN,2003,12.2
CHN,2004,12.3
CHN,2005,12.5
CHN,2006,12.5
CHN,2007,12.6
CHN,2008,12.6
CHN,2009,12.6
CHN,2010,12.7
CHN,2011,12.9
CHN,2012,13.1
CHN,2013,13.3
CHN,2014,13.7
CHN,2015,14.5
CHN,2017,15.6
CHN,2019,17.3
CHN,2020,18.5
CHN,2021,18.8
CHN,2022,19.4
CHN,2023,20
CHN,2024,20.6
CHN,2025,22.3
CHN,2026,22.1
CHN,2027,23
CHN,2050,47.5
CHN,2075,58.8
